country,region,subregion
Denmark,Europe,Northern Europe
Estonia,Europe,Northern Europe
Finland,Europe,Northern Europe
Iceland,Europe,Northern Europe
Ireland,Europe,Northern Europe
Latvia,Europe,Northern Europe
Lithuania,Europe,Northern Europe
Norway,Europe,Northern Europe
Sweden,Europe,Northern Europe
United Kingdom,Europe,Northern Europe
Austria,Europe,Western Europe
Belgium,Europe,Western Europe
France,Europe,Western Europe
Germany,Europe,Western Europe
Liechtenstein,Europe,Western Europe
Luxembourg,Europe,Western Europe
Monaco,Europe,Western Europe
Netherlands,Europe,Western Europe
Switzerland,Europe,Western Europe
Bulgaria,Europe,Central/Eastern Europe
Czech Republic,Europe,Central/Eastern Europe
Hungary,Europe,Central/Eastern Europe
Poland,Europe,Central/Eastern Europe
Romania,Europe,Central/Eastern Europe
Slovakia,Europe,Central/Eastern Europe
Slovenia,Europe,Central/Eastern Europe
Albania,Europe,Southern/Mediterranean Europe
Andorra,Europe,Southern/Mediterranean Europe
Croatia,Europe,Southern/Mediterranean Europe
Cyprus,Europe,Southern/Mediterranean Europe
Greece,Europe,Southern/Mediterranean Europe
Italy,Europe,Southern/Mediterranean Europe
Malta,Europe,Southern/Mediterranean Europe
Montenegro,Europe,Southern/Mediterranean Europe
Portugal,Europe,Southern/Mediterranean Europe
San Marino,Europe,Southern/Mediterranean Europe
Serbia,Europe,Southern/Mediterranean Europe
Spain,Europe,Southern/Mediterranean Europe
Türkiye,Europe,Southern/Mediterranean Europe
North Macedonia,Europe,Southern/Mediterranean Europe
China,Asia and the Pacific,North-East Asia
Japan,Asia and the Pacific,North-East Asia
Korea (Rep. of),Asia and the Pacific,North-East Asia
Mongolia,Asia and the Pacific,North-East Asia
Taiwan (Province of China),Asia and the Pacific,North-East Asia
Cambodia,Asia and the Pacific,South-East Asia
Indonesia,Asia and the Pacific,South-East Asia
Lao PDR,Asia and the Pacific,South-East Asia
Malaysia,Asia and the Pacific,South-East Asia
Myanmar,Asia and the Pacific,South-East Asia
Philippines,Asia and the Pacific,South-East Asia
Singapore,Asia and the Pacific,South-East Asia
Thailand,Asia and the Pacific,South-East Asia
Timor-Leste,Asia and the Pacific,South-East Asia
Viet Nam,Asia and the Pacific,South-East Asia
Bangladesh,Asia and the Pacific,South Asia
Bhutan,Asia and the Pacific,South Asia
India,Asia and the Pacific,South Asia
Maldives,Asia and the Pacific,South Asia
Nepal,Asia and the Pacific,South Asia
Pakistan,Asia and the Pacific,South Asia
Sri Lanka,Asia and the Pacific,South Asia
Australia,Asia and the Pacific,Oceania
Fiji,Asia and the Pacific,Oceania
New Zealand,Asia and the Pacific,Oceania
Papua New Guinea,Asia and the Pacific,Oceania
Samoa,Asia and the Pacific,Oceania
Solomon Islands,Asia and the Pacific,Oceania
Tonga,Asia and the Pacific,Oceania
Vanuatu,Asia and the Pacific,Oceania
Canada,Americas,North America
Mexico,Americas,North America
United States,Americas,North America
Antigua and Barbuda,Americas,Caribbean
Aruba,Americas,Caribbean
Bahamas,Americas,Caribbean
Barbados,Americas,Caribbean
Cuba,Americas,Caribbean
Curacao,Americas,Caribbean
Dominica,Americas,Caribbean
Dominican Republic,Americas,Caribbean
Grenada,Americas,Caribbean
Haiti,Americas,Caribbean
Jamaica,Americas,Caribbean
Puerto Rico,Americas,Caribbean
Saint Kitts and Nevis,Americas,Caribbean
Saint Lucia,Americas,Caribbean
Saint Vincent and the Grenadines,Americas,Caribbean
