date,month,total_listings,active_listings,booked_listings,available_listing_nights,demand_nights,revenue,occupancy,adr,rev_par,avg_stay_length,ISO2,country,world_region,world_subregion,occ_norm
2024-01-01,Jan,1076,1010,974,26404,14897,3548838,0.5641948189668232,238.23,134.41,3.55,AD,Andorra,Europe,Southern/Mediterranean Europe,0.728893742754577
2024-02-01,Feb,1100,1054,1036,26080,18010,4496039,0.6905674846625767,249.64,172.39,3.82,AD,Andorra,Europe,Southern/Mediterranean Europe,0.9945743168587738
2024-03-01,Mar,1086,1051,996,29018,12927,2704444,0.4454821145495899,209.21,93.2,3.26,AD,Andorra,Europe,Southern/Mediterranean Europe,0.47931714888130067
2024-04-01,Apr,1051,966,685,24217,5267,856549,0.21749184457199489,162.63,35.37,3.3,AD,Andorra,Europe,Southern/Mediterranean Europe,0
2024-05-01,May,975,711,584,15331,5017,658449,0.32724545039462527,131.24,42.95,3,AD,Andorra,Europe,Southern/Mediterranean Europe,0.23074136202178747
2024-06-01,Jun,1011,817,781,18342,7107,1046480,0.38747137716715735,147.25,57.05,2.82,AD,Andorra,Europe,Southern/Mediterranean Europe,0.3573578159265129
2024-07-01,Jul,1049,887,775,22092,9388,1368532,0.4249502082201702,145.77,61.95,3.18,AD,Andorra,Europe,Southern/Mediterranean Europe,0.43615173307700994
2024-08-01,Aug,1091,990,971,24709,17127,2876201,0.6931482455785342,167.93,116.4,3.3,AD,Andorra,Europe,Southern/Mediterranean Europe,1
2024-09-01,Sep,1061,947,713,22489,6824,953380,0.30343723598203565,139.71,42.39,3,AD,Andorra,Europe,Southern/Mediterranean Europe,0.18068797398326022
2024-10-01,Oct,980,747,656,17588,6527,1001228,0.3711052990675461,153.4,56.93,2.89,AD,Andorra,Europe,Southern/Mediterranean Europe,0.32295046207827516
2024-11-01,Nov,980,820,789,21702,7513,1069124,0.3461892913095567,142.3,49.26,2.76,AD,Andorra,Europe,Southern/Mediterranean Europe,0.27056809593064324
2024-12-01,Dec,1063,1011,996,23433,13675,3301653,0.5835787137797124,241.44,140.9,3.17,AD,Andorra,Europe,Southern/Mediterranean Europe,0.7696456274593151
2024-01-01,Jan,1406,1078,948,21617,11174,3334481,0.5169079890826664,298.41,154.25,5.37,AG,Antigua and Barbuda,Americas,Caribbean,0.6560075966970985
2024-02-01,Feb,1362,1038,971,19633,12287,4195104,0.6258340549075536,341.43,213.68,5.31,AG,Antigua and Barbuda,Americas,Caribbean,1
2024-03-01,Mar,1474,1124,988,23250,12108,3904765,0.520774193548387,322.49,167.95,5.18,AG,Antigua and Barbuda,Americas,Caribbean,0.6682172083795924
2024-04-01,Apr,1512,1048,892,21672,9653,2983845,0.4454134366925064,309.11,137.68,4.69,AG,Antigua and Barbuda,Americas,Caribbean,0.43022524870250783
2024-05-01,May,1497,1053,931,21325,9470,2466166,0.44407971864009377,260.42,115.65,4.35,AG,Antigua and Barbuda,Americas,Caribbean,0.4260133194943471
2024-06-01,Jun,1483,1033,838,23332,8858,2377719,0.37965026572947025,268.43,101.91,4.49,AG,Antigua and Barbuda,Americas,Caribbean,0.22254280780023336
2024-07-01,Jul,1514,1044,890,19883,9026,2392035,0.4539556404969069,265.02,120.31,5.06,AG,Antigua and Barbuda,Americas,Caribbean,0.4572018331768142
2024-08-01,Aug,1526,1041,928,23075,10763,2574582,0.4664355362946912,239.21,111.57,4.8,AG,Antigua and Barbuda,Americas,Caribbean,0.4966137894972705
2024-09-01,Sep,1464,861,509,15651,4839,1122607,0.3091815219474794,231.99,71.73,4.74,AG,Antigua and Barbuda,Americas,Caribbean,0
2024-10-01,Oct,1552,773,682,14540,6078,1816157,0.4180192572214581,298.81,124.91,4.55,AG,Antigua and Barbuda,Americas,Caribbean,0.3437134522707315
2024-11-01,Nov,1552,959,910,19523,9779,3092491,0.5008963786303334,316.24,158.4,4.66,AG,Antigua and Barbuda,Americas,Caribbean,0.6054423594553302
2024-12-01,Dec,1610,1316,1264,24995,15387,5639486,0.6156031206241248,366.51,225.62,4.99,AG,Antigua and Barbuda,Americas,Caribbean,0.9676903444043544
2024-01-01,Jan,15155,4173,3521,96017,29983,1424805,0.31226761927575325,47.52,14.84,3.44,AL,Albania,Europe,Southern/Mediterranean Europe,0.014884722750180445
2024-02-01,Feb,15409,3887,3274,76776,31767,1477383,0.4137621131603626,46.51,19.24,3.28,AL,Albania,Europe,Southern/Mediterranean Europe,0.36343841484661826
2024-03-01,Mar,16030,4969,4451,102075,44126,2235403,0.4322899828557433,50.66,21.9,3.23,AL,Albania,Europe,Southern/Mediterranean Europe,0.4270670624888126
2024-04-01,Apr,17334,6605,6069,135974,62222,3472009,0.4576021886537132,55.8,25.53,3.16,AL,Albania,Europe,Southern/Mediterranean Europe,0.513994564152281
2024-05-01,May,19413,9354,8653,203379,94015,5945339,0.4622650322796355,63.24,29.23,3.02,AL,Albania,Europe,Southern/Mediterranean Europe,0.5300077615118474
2024-06-01,Jun,21449,13045,11977,270113,137528,10160797,0.5091498743118621,73.88,37.62,3.19,AL,Albania,Europe,Southern/Mediterranean Europe,0.69102028710038
2024-07-01,Jul,22609,16703,15846,371846,221340,18977312,0.5952464192165574,85.74,51.04,3.45,AL,Albania,Europe,Southern/Mediterranean Europe,0.9866941454024502
2024-08-01,Aug,23569,18449,17252,448195,268523,24116806,0.5991209183502716,89.81,53.81,3.32,AL,Albania,Europe,Southern/Mediterranean Europe,1
