"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","1076","1010","974","26404","14897","3548838","0.5641948189668232","238.23","134.41","3.55"
"2024-02-01","1100","1054","1036","26080","18010","4496039","0.6905674846625767","249.64","172.39","3.82"
"2024-03-01","1086","1051","996","29018","12927","2704444","0.4454821145495899","209.21","93.2","3.26"
"2024-04-01","1051","966","685","24217","5267","856549","0.21749184457199489","162.63","35.37","3.3"
"2024-05-01","975","711","584","15331","5017","658449","0.32724545039462527","131.24","42.95","3"
"2024-06-01","1011","817","781","18342","7107","1046480","0.38747137716715735","147.25","57.05","2.82"
"2024-07-01","1049","887","775","22092","9388","1368532","0.4249502082201702","145.77","61.95","3.18"
"2024-08-01","1091","990","971","24709","17127","2876201","0.6931482455785342","167.93","116.4","3.3"
"2024-09-01","1061","947","713","22489","6824","953380","0.30343723598203565","139.71","42.39","3"
"2024-10-01","980","747","656","17588","6527","1001228","0.3711052990675461","153.4","56.93","2.89"
"2024-11-01","980","820","789","21702","7513","1069124","0.3461892913095567","142.3","49.26","2.76"
"2024-12-01","1063","1011","996","23433","13675","3301653","0.5835787137797124","241.44","140.9","3.17"
