"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","54465","48370","44220","1191186","575963","118316202","0.4835206256621552","205.42","99.33","4.22"
"2024-02-01","53876","45992","42587","972745","673020","141019621","0.6918771106507872","209.53","144.97","4.63"
"2024-03-01","57100","48792","42894","1147291","594555","117500352","0.5182251059234319","197.63","102.42","4"
"2024-04-01","57320","44462","35421","986085","431251","70976421","0.4373365379252296","164.58","71.98","3.64"
"2024-05-01","56954","43985","40352","984270","570193","97359418","0.5793054751236957","170.75","98.92","3.43"
"2024-06-01","60426","50247","47120","1132734","635332","109442924","0.5608836673040626","172.26","96.62","3.64"
"2024-07-01","62383","56023","53324","1295744","874617","158063914","0.6749921280746815","180.72","121.99","4.07"
"2024-08-01","64819","58854","57074","1396382","988355","186140949","0.7077970068362383","188.33","133.3","3.92"
"2024-09-01","65221","57299","47090","1278784","622537","107447509","0.48681950978429506","172.6","84.02","3.63"
"2024-10-01","59824","48570","40813","1071250","539738","93063408","0.5038394399066511","172.42","86.87","3.54"
"2024-11-01","54505","39901","33118","856486","382817","64085942","0.4469623554850867","167.41","74.82","3.39"
"2024-12-01","61394","53871","52546","1036310","701286","149919010","0.6767144966274571","213.78","144.67","3.74"
