"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","5362","4105","3821","74289","49995","26338335","0.6729798489682187","526.82","354.54","7.23"
"2024-02-01","4806","3618","3334","65989","48640","23544284","0.7370925457273182","484.05","356.79","6.71"
"2024-03-01","5362","3893","3648","78386","50860","25524902","0.6488403541448728","501.87","325.63","6.19"
"2024-04-01","5677","4010","3259","78000","34866","15545235","0.447","445.86","199.3","5.22"
"2024-05-01","5537","3527","2726","68389","28197","10846181","0.4123031481671029","384.66","158.6","4.73"
"2024-06-01","5613","3412","2884","62916","30969","12244569","0.4922277322143811","395.38","194.62","4.86"
"2024-07-01","5614","3471","2988","65955","30544","11833675","0.46310363126374043","387.43","179.42","5.2"
"2024-08-01","5681","3583","3187","72691","35144","13722084","0.4834711312266993","390.45","188.77","5.11"
"2024-09-01","5434","3178","2228","56449","22095","7875253","0.3914152597920247","356.43","139.51","4.99"
"2024-10-01","5591","3117","2780","55137","27349","10257253","0.49601900720024666","375.05","186.03","4.81"
"2024-11-01","5536","3714","3543","68072","45713","17056375","0.6715389587495593","373.12","250.56","5.46"
"2024-12-01","5510","4469","4291","79209","55757","26199429","0.7039225340554734","469.89","330.76","5.85"
