"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","5806","4324","3815","108384","47659","21965004","0.4397235754354886","460.88","202.66","4.89"
"2024-02-01","5758","4003","3642","83003","48659","23310005","0.5862318229461586","479.05","280.83","4.64"
"2024-03-01","5865","4259","4090","101272","64759","35078446","0.6394561181767913","541.68","346.38","4.67"
"2024-04-01","6039","4391","3961","106011","48676","25270202","0.45915989850109895","519.15","238.37","4.2"
"2024-05-01","6131","4496","3900","104395","48763","24562710","0.46710091479476984","503.72","235.29","3.94"
"2024-06-01","6161","4597","4127","108794","58520","31290449","0.5378973105134475","534.7","287.61","4.29"
"2024-07-01","6261","4523","4090","111255","60495","30830550","0.543750842658757","509.64","277.12","4.32"
"2024-08-01","6328","4332","3660","106889","41138","18138113","0.3848665437977715","440.91","169.69","3.93"
"2024-09-01","6080","3543","2514","75812","23226","9617251","0.30636310874267925","414.07","126.86","3.81"
"2024-10-01","6180","3136","2715","71490","26791","10877281","0.3747517135263673","406.01","152.15","3.67"
"2024-11-01","6391","3847","3461","81562","38800","19569364","0.4757117285010176","504.37","239.93","4.14"
"2024-12-01","6559","4724","4569","101818","58294","29700535","0.5725313795203206","509.5","291.7","4.36"
