"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","37584","29911","27731","727150","390467","94076945","0.5369827408375163","240.93","129.38","3.58"
"2024-02-01","37925","28241","25986","624361","365938","86439927","0.5861000286693115","236.21","138.45","3.49"
"2024-03-01","39383","31077","29272","719165","415825","104053706","0.5782052797341362","250.23","144.69","3.3"
"2024-04-01","39995","29935","24121","741754","275373","67325586","0.37124572297554176","244.49","90.77","3.15"
"2024-05-01","39768","26090","21504","619527","230507","51623448","0.37206933676821186","223.96","83.33","3.08"
"2024-06-01","40465","25416","22637","573916","234405","56197740","0.4084308505077398","239.75","97.92","3.21"
"2024-07-01","41453","27368","24729","661609","309881","72672739","0.4683748256145246","234.52","109.84","3.15"
"2024-08-01","42138","27348","23655","666113","251842","55040140","0.37807699294263886","218.55","82.63","2.93"
"2024-09-01","41785","24710","19743","557010","173281","32073786","0.31109136281215777","185.1","57.58","2.98"
"2024-10-01","41542","23496","20169","523865","183292","33799261","0.3498840350090195","184.4","64.52","3"
"2024-11-01","43686","26709","24363","578557","261796","58400231","0.45249819810321196","223.08","100.94","3.09"
"2024-12-01","45387","35278","34423","731293","408834","106072270","0.5590563563441739","259.45","145.05","3.28"
