"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","15109","7752","6659","178727","66096","7831706","0.3698154168088761","118.49","43.82","3.95"
"2024-02-01","15087","7280","6118","137242","68064","7623571","0.49594147564156743","112.01","55.55","4"
"2024-03-01","16011","9180","8541","188731","98745","12951757","0.5232049848726494","131.16","68.63","4.15"
"2024-04-01","16635","11091","9891","228592","119888","17956251","0.5244627983481487","149.78","78.55","4.49"
"2024-05-01","16965","12318","11370","261442","143118","24197098","0.5474177829116974","169.07","92.55","4.49"
"2024-06-01","17612","13870","13005","281689","174493","31537839","0.619452658783268","180.74","111.96","4.58"
"2024-07-01","17894","14681","13615","311951","198743","38410934","0.6370968517491529","193.27","123.13","4.99"
"2024-08-01","18056","15161","14656","322994","237141","46380686","0.7341963008600779","195.58","143.6","4.75"
"2024-09-01","18543","15584","14089","323161","204812","36470692","0.6337769718499447","178.07","112.86","4.79"
"2024-10-01","18503","14901","13585","313305","200083","33375769","0.6386205135570769","166.81","106.53","4.71"
"2024-11-01","18548","13354","10040","281839","113067","14434374","0.40117584862279526","127.66","51.21","4.24"
"2024-12-01","17198","10579","8923","211927","95466","12012203","0.4504664341966809","125.83","56.68","3.95"
