"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","3702","1184","942","27655","7687","419693","0.2779605857891882","54.6","15.18","3.74"
"2024-02-01","3827","1168","934","20755","8378","453424","0.40366176824861477","54.12","21.85","3.98"
"2024-03-01","3934","1079","775","24016","5806","306174","0.24175549633577614","52.73","12.75","3.94"
"2024-04-01","4105","1376","1277","23019","12273","734847","0.5331682523133064","59.88","31.92","4.18"
"2024-05-01","4357","1772","1541","38458","15740","940868","0.40927765354412604","59.78","24.46","3.78"
"2024-06-01","4560","2014","1723","39258","16081","1095918","0.40962351622599213","68.15","27.92","3.84"
"2024-07-01","5173","2929","2749","55624","33889","2378385","0.6092514022724004","70.18","42.76","4.39"
"2024-08-01","5467","3720","3510","79245","47304","3299650","0.5969335604770017","69.75","41.64","4.16"
"2024-09-01","5761","3642","2225","74668","21057","1314618","0.2820083569936251","62.43","17.61","3.73"
"2024-10-01","5705","2525","1862","47725","19855","1157470","0.41602933473022524","58.3","24.25","3.66"
"2024-11-01","5746","2025","1442","44181","12746","695924","0.28849505443516443","54.6","15.75","3.46"
"2024-12-01","5680","1938","1668","36053","15814","831490","0.4386320139794192","52.58","23.06","3.7"
