"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","343266","245511","211944","5565944","2459303","347692175","0.4418483189913517","141.38","62.47","4.23"
"2024-02-01","337253","223551","204082","4490199","2678980","403121850","0.596628345425225","150.48","89.78","3.94"
"2024-03-01","373248","281701","272235","5721770","3488941","566319930","0.609766033937051","162.32","98.98","3.86"
"2024-04-01","392289","310486","265280","6879872","3456758","611005836","0.502445103629835","176.76","88.81","3.76"
"2024-05-01","414719","327484","300406","7296351","4152323","801064673","0.5690958398245918","192.92","109.79","3.61"
"2024-06-01","435369","365121","346755","7912953","4748713","1004949948","0.6001189442171588","211.63","127","3.84"
"2024-07-01","456577","401741","380297","8914000","6125023","1370055936","0.6871239623064842","223.68","153.7","4.42"
"2024-08-01","458767","415451","399221","9061641","6984530","1583236656","0.7707798179159824","226.68","174.72","4.55"
"2024-09-01","457697","415293","347668","8803187","4964731","1015317995","0.5639697305078263","204.51","115.34","3.98"
"2024-10-01","421161","344963","300129","7549454","4336179","824201702","0.5743698815834893","190.08","109.17","3.78"
"2024-11-01","395663","306795","271559","6524251","3248569","505073411","0.49792213696254173","155.48","77.41","3.73"
"2024-12-01","378853","288089","267905","6155995","3343713","542472119","0.543163696526719","162.24","88.12","3.78"
