"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","80543","35710","29725","866959","296616","34800367","0.3421338263977881","117.32","40.14","3.47"
"2024-02-01","81000","32612","27440","670118","292515","33184842","0.43651267388728554","113.45","49.52","3.36"
"2024-03-01","92107","45492","42925","936563","456610","56864048","0.48753794459102057","124.54","60.72","3.44"
"2024-04-01","114705","67961","61116","1418597","733017","107291259","0.5167196885373365","146.37","75.63","3.65"
"2024-05-01","137568","99258","95171","2257218","1172940","210707273","0.519639662628953","179.64","93.35","3.56"
"2024-06-01","148769","129655","123878","2694010","1702718","360539308","0.6320384853805294","211.74","133.83","3.7"
"2024-07-01","153564","141054","133333","3220115","2237323","514189522","0.6947959933107979","229.82","159.68","4.03"
"2024-08-01","152885","140934","137233","3343933","2558505","592935177","0.7651184996828585","231.75","177.32","4.11"
"2024-09-01","155310","142806","125031","3248904","1861879","365439469","0.5730791060616134","196.27","112.48","3.72"
"2024-10-01","139096","116419","91851","2443986","1147849","191625668","0.46966267400877093","166.94","78.41","3.5"
"2024-11-01","103731","68901","49328","1388278","503590","63247251","0.36274434947467293","125.59","45.56","3.41"
"2024-12-01","87544","44811","39388","976794","460079","53596052","0.4710092404334998","116.49","54.87","3.38"
