"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","74866","30490","24996","594036","190672","35728199","0.3209771798342188","187.38","60.14","3.92"
"2024-02-01","70126","18835","15159","358995","162855","32025118","0.45364141561860194","196.65","89.21","3.36"
"2024-03-01","81879","30224","27577","507028","247418","42399934","0.48797699535331385","171.37","83.62","3.64"
"2024-04-01","115917","55330","51491","1041621","517622","80275610","0.49693890580163036","155.09","77.07","3.56"
"2024-05-01","163748","99432","95430","2053682","1121631","199262068","0.5461561234894204","177.65","97.03","3.71"
"2024-06-01","203375","159636","153523","3209879","2007984","360498714","0.6255637673569627","179.53","112.31","4.38"
"2024-07-01","194216","174422","169412","3831682","3031656","592783520","0.7912076210917294","195.53","154.71","5.08"
"2024-08-01","191112","177842","175548","3962782","3344696","656183515","0.8440272515621601","196.19","165.59","4.97"
"2024-09-01","207013","178803","142836","3777386","1786825","312130893","0.4730321444512157","174.68","82.63","4.27"
"2024-10-01","147465","106670","70200","1902174","716233","111982062","0.3765339027870216","156.35","58.87","3.83"
"2024-11-01","83843","38849","27149","711825","236954","34373214","0.3328823797984055","145.06","48.29","3.65"
"2024-12-01","77550","32086","28932","530973","266462","45419939","0.5018371932282809","170.46","85.54","3.61"
