"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","97914","63683","49361","1622299","431878","35416487","0.26621356482374703","82.01","21.83","2.75"
"2024-02-01","100613","52537","40794","1217575","377606","27706006","0.31012956080734244","73.37","22.76","2.73"
"2024-03-01","103671","52719","43897","1229257","413414","32738579","0.3363120974702605","79.19","26.63","2.66"
"2024-04-01","105010","53062","42107","1241609","356086","28231858","0.28679399070077616","79.28","22.74","2.63"
"2024-05-01","106521","54052","47199","1288419","461311","37805362","0.3580442387142692","81.95","29.34","2.51"
"2024-06-01","106609","58157","49586","1412432","514546","43517828","0.3642978918631127","84.58","30.81","2.43"
"2024-07-01","108231","55473","45533","1388824","429283","33585909","0.3090982010679539","78.24","24.18","2.49"
"2024-08-01","109572","57198","49492","1388461","464628","38226550","0.33463525442918457","82.27","27.53","2.43"
"2024-09-01","113249","57963","45936","1335427","404587","29795406","0.3029645199625288","73.64","22.31","2.49"
"2024-10-01","115412","59309","52932","1474541","482419","34285612","0.3271655382929332","71.07","23.25","2.46"
"2024-11-01","118256","66408","59419","1599689","583630","45077035","0.3648396657100224","77.24","28.18","2.43"
"2024-12-01","124803","80975","75196","1854398","837409","68515900","0.4515799736626118","81.82","36.95","2.48"
