"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","5584","1374","1119","31484","9865","643276","0.31333375682886544","65.21","20.43","3.51"
"2024-02-01","5660","1428","1166","26220","10508","685776","0.4007627765064836","65.26","26.15","3.52"
"2024-03-01","5847","1493","1214","33449","10097","633799","0.30186253699662174","62.77","18.95","3.29"
"2024-04-01","5888","1655","1438","34220","13084","1043113","0.38234950321449446","79.72","30.48","3.44"
"2024-05-01","5871","1770","1406","38876","13482","1091605","0.3467949377507974","80.97","28.08","3.52"
"2024-06-01","5962","1974","1775","38932","16899","1582576","0.4340645227576287","93.65","40.65","4.25"
"2024-07-01","5886","2243","1925","44290","21852","1952469","0.49338451117633775","89.35","44.08","4.36"
"2024-08-01","5963","2164","1796","46587","18940","1652254","0.40655118380664135","87.24","35.47","3.9"
"2024-09-01","6123","1982","1489","39493","14560","1116825","0.3686729293798901","76.71","28.28","3.8"
"2024-10-01","6268","1847","1487","38256","13780","989268","0.36020493517356755","71.79","25.86","3.61"
"2024-11-01","6328","1718","1370","35432","12970","859688","0.3660532851659517","66.28","24.26","3.9"
"2024-12-01","6295","1637","1337","34676","12315","848539","0.3551447687161149","68.9","24.47","3.74"
