"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","58032","49980","44046","1258832","496105","44811427","0.3940994509195826","90.33","35.6","2.14"
"2024-02-01","59950","47931","44272","1070093","496316","46008557","0.4638064168254535","92.7","42.99","2.1"
"2024-03-01","60002","50237","47653","1219808","569532","52379731","0.466902988011228","91.97","42.94","2.32"
"2024-04-01","59206","49749","47214","1187418","627269","58229668","0.5282630042663998","92.83","49.04","2.39"
"2024-05-01","60347","52761","51270","1347122","673524","63574420","0.49997253403923325","94.39","47.19","2.33"
"2024-06-01","62631","54810","51473","1284831","675380","64836176","0.5256566816958806","96","50.46","2.28"
"2024-07-01","64506","57191","54015","1329653","720166","71827668","0.5416195052393369","99.74","54.02","2.3"
"2024-08-01","69289","61142","58901","1522347","866252","92159864","0.5690240135790329","106.39","60.54","2.08"
"2024-09-01","69178","60512","55524","1499642","702405","68827630","0.4683817871198593","97.99","45.9","2.28"
"2024-10-01","69105","60097","56306","1550613","791086","77039528","0.5101762980189125","97.38","49.68","2.3"
"2024-11-01","67674","56503","51830","1436746","662951","63955950","0.46142533196542745","96.47","44.51","2.16"
"2024-12-01","66849","56810","52116","1391648","662298","64902852","0.4759091379429281","98","46.64","2.1"
