"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","17337","6672","5701","155182","61586","5671530","0.396863038238971","92.09","36.55","3.48"
"2024-02-01","17848","6621","5621","134485","57048","5122911","0.4241960069896271","89.8","38.09","3.31"
"2024-03-01","18388","6609","5357","146695","52644","4975751","0.3588670370496609","94.52","33.92","3.12"
"2024-04-01","18977","6327","4859","134620","44186","4707530","0.32822760362501857","106.54","34.97","3.04"
"2024-05-01","19192","5854","4105","118315","29653","2594135","0.2506275620166505","87.48","21.93","2.87"
"2024-06-01","18863","5276","4025","108651","29562","2816169","0.27208217135599305","95.26","25.92","2.98"
"2024-07-01","19298","5807","5137","123327","47228","4107466","0.3829493946986467","86.97","33.31","3.07"
"2024-08-01","19678","6452","5433","143116","51678","4737228","0.36109170183627265","91.67","33.1","2.57"
"2024-09-01","20050","6256","4569","132588","35606","2888396","0.26854617310767187","81.12","21.78","2.7"
"2024-10-01","20484","5820","4487","123667","36029","3416351","0.29133883736162436","94.82","27.63","2.99"
"2024-11-01","21150","6351","5678","132945","50959","4670875","0.38330888713377714","91.66","35.13","3.07"
"2024-12-01","21884","9154","8691","174382","90573","8908896","0.5193942035301808","98.36","51.09","3.21"
