"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","57687","24439","20346","584870","202641","21123543","0.3464718655427702","104.24","36.12","3.43"
"2024-02-01","58137","22020","18835","457323","211852","22632704","0.46324370302827544","106.83","49.49","3.45"
"2024-03-01","59368","22486","18550","527294","216597","24851309","0.41077084131433317","114.74","47.13","3.32"
"2024-04-01","61020","24054","21859","517985","267179","32482839","0.5158045117136597","121.58","62.71","3.4"
"2024-05-01","63529","28198","25466","671548","324209","40442408","0.4827785951264839","124.74","60.22","3.25"
"2024-06-01","66307","32835","28786","699137","300311","37472550","0.4295452822551231","124.78","53.6","3.33"
"2024-07-01","69427","39394","34790","822870","435196","51997852","0.5288757640939639","119.48","63.19","3.88"
"2024-08-01","71303","44143","40902","1016557","606432","73142566","0.596554841489459","120.61","71.95","3.74"
"2024-09-01","74884","44857","30397","970109","360706","40614790","0.3718200738267555","112.6","41.87","3.29"
"2024-10-01","72165","34314","28333","787269","376031","45886508","0.4776397902114779","122.03","58.29","3.22"
"2024-11-01","73785","31229","26082","748095","327859","35236363","0.43825850994860277","107.47","47.1","3.11"
"2024-12-01","76130","34774","31774","741747","373130","40544539","0.5030421424016545","108.66","54.66","3.41"
