"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","38430","32020","28704","761116","288506","50626181","0.3790565432864373","175.48","66.52","3.44"
"2024-02-01","38447","28136","25394","583409","298209","53968187","0.5111491252277561","180.97","92.5","3.31"
"2024-03-01","39872","33225","32126","718838","429221","82030497","0.5971039371875165","191.11","114.12","3.43"
"2024-04-01","44234","39272","37786","918300","548359","106535609","0.5971458129151693","194.28","116.01","3.46"
"2024-05-01","47246","44031","42817","1043473","702795","141327567","0.6735152706394895","201.09","135.44","3.4"
"2024-06-01","48947","45827","43665","1033356","670546","132953812","0.6489012499080665","198.28","128.66","3.5"
"2024-07-01","51372","48452","46598","1107366","797517","160663331","0.7201927817903024","201.45","145.09","3.97"
"2024-08-01","52800","50049","47890","1120122","871452","180112421","0.7779973967121439","206.68","160.8","3.94"
"2024-09-01","49301","46321","43451","1053466","686353","136892181","0.651518890975124","199.45","129.94","3.58"
"2024-10-01","47568","43539","40682","1037088","655706","132035316","0.6322568576629949","201.36","127.31","3.39"
"2024-11-01","44596","39197","34758","915480","433371","84549175","0.47338117708742955","195.1","92.36","3.15"
"2024-12-01","43688","38910","37115","817569","447631","88067657","0.5475146440239295","196.74","107.72","3.33"
