"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","3164","825","627","17731","5717","201541","0.32242964299813887","35.25","11.37","4.76"
"2024-02-01","3284","764","642","14822","6018","226785","0.4060180812306032","37.68","15.3","4.04"
"2024-03-01","3407","825","699","17661","7111","284248","0.40263858218673915","39.97","16.09","4.15"
"2024-04-01","3450","886","711","19228","7113","292549","0.36992926981485336","41.13","15.21","3.85"
"2024-05-01","3461","878","671","18118","6258","238543","0.34540236229164367","38.12","13.17","3.89"
"2024-06-01","3461","814","640","17785","6262","246603","0.3520944616249649","39.38","13.87","4.4"
"2024-07-01","3543","760","572","16095","5578","211256","0.3465672569120845","37.87","13.13","4.4"
"2024-08-01","3630","760","592","14781","5520","204603","0.37345240511467426","37.07","13.84","4.46"
"2024-09-01","3702","863","728","17036","6574","233550","0.38588870626907723","35.53","13.71","4.23"
"2024-10-01","3708","982","847","20523","8379","299958","0.40827364420406376","35.8","14.62","3.85"
"2024-11-01","3770","1033","875","21457","9161","325673","0.42694691708999394","35.55","15.18","4.05"
"2024-12-01","3783","1083","881","22393","7911","283248","0.3532800428705399","35.8","12.65","3.73"
