"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","9674","7048","6395","168017","72018","9613464","0.42863519762881136","133.49","57.22","3.54"
"2024-02-01","9726","6984","6494","151790","74858","10356588","0.4931681928980829","138.35","68.23","3.47"
"2024-03-01","10136","7334","6212","159369","75186","10524193","0.47177305498559946","139.98","66.04","3.33"
"2024-04-01","10346","6670","5169","162432","52710","6873612","0.3245050236406619","130.4","42.32","3.29"
"2024-05-01","10249","5740","4684","129964","48292","5867022","0.3715798221045828","121.49","45.14","3.26"
"2024-06-01","10288","5912","5331","129489","56804","7183670","0.4386781888809088","126.46","55.48","3.27"
"2024-07-01","10476","6214","5595","143490","65348","8325366","0.4554184960624434","127.4","58.02","3.41"
"2024-08-01","10805","6156","5421","142990","60652","7597976","0.4241695223442199","125.27","53.14","3.15"
"2024-09-01","10643","6068","5358","136974","55328","6529595","0.4039306729744331","118.02","47.67","3.22"
"2024-10-01","10759","6019","4902","137164","52987","6070130","0.38630398646875275","114.56","44.25","3.3"
"2024-11-01","10808","7012","6653","169647","70184","9179849","0.41370610738769326","130.8","54.11","3.26"
"2024-12-01","11123","8234","7707","162965","86095","12376551","0.5283036234774338","143.75","75.95","3.39"
