"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","26447","18931","17113","466055","137274","11344376","0.29454463528982633","82.64","24.34","2.91"
"2024-02-01","26469","15390","13409","319530","138039","10760697","0.4320063843770538","77.95","33.68","2.83"
"2024-03-01","27187","15468","13135","360529","141738","10089545","0.3931389707901445","71.18","27.99","2.79"
"2024-04-01","28419","16055","14597","359334","150539","10953049","0.41893892590180726","72.76","30.48","2.82"
"2024-05-01","29444","19374","18085","456430","200016","15614217","0.438218346734439","78.06","34.21","2.78"
"2024-06-01","30645","21654","19747","472554","218829","17338673","0.46307723561751674","79.23","36.69","2.77"
"2024-07-01","31244","23277","21947","555580","296545","25845268","0.5337575146693545","87.15","46.52","2.98"
"2024-08-01","32117","25051","23948","603451","345653","31961625","0.5727938142450671","92.47","52.96","2.9"
"2024-09-01","32037","24163","19223","550316","224586","17792550","0.40810370768794657","79.22","32.33","2.8"
"2024-10-01","29312","20192","17348","458958","214310","16597498","0.4669490454464243","77.45","36.16","2.74"
"2024-11-01","29664","18880","17146","444682","187024","14414468","0.4205792004173769","77.07","32.42","2.61"
"2024-12-01","29864","21624","20615","452732","221987","19222715","0.4903276110369932","86.59","42.46","2.89"
