"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","41","32","20","652","184","19180","0.2822085889570552","104.24","29.42","3.25"
"2024-02-01","34","19","18","415","163","22533","0.3927710843373494","138.24","54.3","2.88"
"2024-03-01","41","34","30","596","260","32026","0.436241610738255","123.18","53.73","2.97"
"2024-04-01","43","36","34","901","383","45459","0.42508324084350724","118.69","50.45","2.89"
"2024-05-01","47","37","36","882","429","58295","0.48639455782312924","135.89","66.09","2.57"
"2024-06-01","50","41","39","967","478","65193","0.49431230610134436","136.39","67.42","2.49"
"2024-07-01","50","43","42","1074","610","97793","0.5679702048417132","160.32","91.05","2.69"
"2024-08-01","52","49","47","1121","621","98949","0.5539696699375558","159.34","88.27","2.74"
"2024-09-01","51","48","37","1106","473","74117","0.42766726943942135","156.7","67.01","2.51"
"2024-10-01","50","43","41","1020","429","63791","0.42058823529411765","148.7","62.54","2.62"
"2024-11-01","47","40","31","834","330","53849","0.39568345323741005","163.18","64.57","2.09"
"2024-12-01","44","36","34","767","294","46256","0.3833116036505867","157.33","60.31","2.42"
