"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","115054","41424","30990","956947","282151","23256736","0.294844960065709","82.43","24.3","3.8"
"2024-02-01","106871","30958","23696","620012","236797","18980068","0.38192325309832714","80.15","30.61","3.64"
"2024-03-01","102457","29875","25029","645676","259505","22146178","0.4019121045230115","85.34","34.3","3.89"
"2024-04-01","106412","44016","40169","923725","414372","44401400","0.44858805380389183","107.15","48.07","3.77"
"2024-05-01","104692","50471","39864","1049646","459823","55047741","0.438074360308142","119.72","52.44","3.84"
"2024-06-01","101777","63970","59866","1299546","704021","117602534","0.5417438089917556","167.04","90.5","3.92"
"2024-07-01","100035","68040","60461","1491585","867916","162513747","0.5818749853343926","187.25","108.95","4.25"
"2024-08-01","91003","61987","54335","1373226","847772","161020004","0.6173579585588971","189.93","117.26","4.05"
"2024-09-01","89803","58709","44786","1269905","573251","94117068","0.45141250723479315","164.18","74.11","3.93"
"2024-10-01","86045","45668","32288","958964","383802","49106738","0.4002256601916235","127.95","51.21","3.68"
"2024-11-01","81227","31425","21586","671908","245625","25603955","0.365563440232889","104.24","38.11","3.47"
"2024-12-01","77473","25630","21721","521907","220289","22789462","0.42208477755615464","103.45","43.67","3.43"
