"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","7655","3145","2563","75422","25638","2858202","0.33992734215480896","111.48","37.9","3.87"
"2024-02-01","7840","2847","2335","55835","22825","2376792","0.4087937673502284","104.13","42.57","3.62"
"2024-03-01","8054","2715","1967","60174","18491","1811523","0.30729218599395086","97.97","30.1","3.86"
"2024-04-01","8075","2207","1641","45556","14697","1308999","0.3226139257177979","89.07","28.73","4.21"
"2024-05-01","8266","2149","1760","44021","15152","1362914","0.3441993593966516","89.95","30.96","4.04"
"2024-06-01","8558","2630","2328","52011","21799","2134900","0.4191228778527619","97.94","41.05","3.8"
"2024-07-01","8992","3117","2681","64784","27176","2892903","0.4194862929118301","106.45","44.65","3.74"
"2024-08-01","9124","3230","2776","70699","28899","3120486","0.4087610857296426","107.98","44.14","3.5"
"2024-09-01","9397","3255","2545","68656","23173","2314548","0.33752330459100444","99.88","33.71","3.51"
"2024-10-01","9804","3117","2525","67651","24444","2443196","0.36132503584573766","99.95","36.11","3.71"
"2024-11-01","10140","3103","2460","64477","23490","2212203","0.36431595762830155","94.18","34.31","3.75"
"2024-12-01","10337","4112","3815","80642","39819","3977763","0.49377495597827437","99.9","49.33","3.79"
