"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","5558","3019","2637","70002","18965","1515309","0.27092083083340474","79.9","21.65","3.62"
"2024-02-01","5888","2776","1840","46034","13610","932884","0.29565104053525654","68.54","20.27","3.55"
"2024-03-01","6209","2904","2467","51169","20743","1518133","0.40538216498270435","73.19","29.67","3.78"
"2024-04-01","6268","2745","1742","65988","13530","872739","0.2050372795053646","64.5","13.23","3.48"
"2024-05-01","6363","2264","1840","48064","15305","916972","0.31842959387483355","59.91","19.08","3.35"
"2024-06-01","6538","2411","2101","50488","19176","1185262","0.37981302487719854","61.81","23.48","3.34"
"2024-07-01","6752","2601","2149","58542","20524","1353100","0.35058590413720064","65.93","23.11","3.34"
"2024-08-01","6779","2738","2187","55516","19558","1406930","0.3522948339217523","71.94","25.34","3.47"
"2024-09-01","6935","2875","2437","62308","22493","1485368","0.3609969827309495","66.04","23.84","3.36"
"2024-10-01","7164","2888","2155","60548","17823","1049995","0.29436149831538616","58.91","17.34","3.11"
"2024-11-01","7381","2745","2307","56010","19210","1108973","0.3429744688448491","57.73","19.8","3.15"
"2024-12-01","7247","4165","3867","70402","31211","2397013","0.4433254737081333","76.8","34.05","3.87"
