"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","71234","58352","53288","1347983","554834","69145317","0.4116031136891192","124.62","51.3","3.54"
"2024-02-01","67981","48657","42073","984618","481961","56466434","0.48949034041628325","117.16","57.35","3.34"
"2024-03-01","71888","51763","48768","1164323","601919","67357885","0.51696908847459","111.91","57.85","3.22"
"2024-04-01","73197","52237","44630","1238644","453805","48305849","0.36637242016269406","106.45","39","3.08"
"2024-05-01","71895","48360","41699","1120046","392275","36528236","0.35023115122057485","93.12","32.61","2.98"
"2024-06-01","71485","49845","45616","1076685","459043","43001361","0.42634846775054913","93.68","39.94","3.1"
"2024-07-01","69742","48614","41603","1141175","424041","41383908","0.37158279843144126","97.59","36.26","3.02"
"2024-08-01","70013","48005","44720","1155552","478059","47132018","0.4137061767882363","98.59","40.79","2.88"
"2024-09-01","73091","53110","50496","1184487","556892","55231475","0.47015459013057975","99.18","46.63","2.94"
"2024-10-01","73280","54232","47221","1318084","532781","57363336","0.40420868472722526","107.67","43.52","2.9"
"2024-11-01","74380","54877","51625","1246609","601801","69182421","0.4827504052994965","114.96","55.5","2.96"
"2024-12-01","80820","69392","67782","1479535","953086","127666003","0.6441794212370778","133.95","86.29","3.51"
