"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","1318","948","822","23984","9214","1531901","0.3841727818545697","166.26","63.87","3.51"
"2024-02-01","1353","854","665","18343","6412","869901","0.34956114048956005","135.67","47.42","3.47"
"2024-03-01","1374","825","724","18672","7674","1300551","0.4109897172236504","169.47","69.65","3.35"
"2024-04-01","1386","886","811","20787","9054","1675055","0.4355606869678164","185.01","80.58","3.53"
"2024-05-01","1418","969","872","23131","11003","2022652","0.475681985214647","183.83","87.44","3.29"
"2024-06-01","1466","1034","955","24503","12696","2357926","0.5181406358405093","185.72","96.23","3.33"
"2024-07-01","1489","1102","1013","27359","14643","2778716","0.5352169304433642","189.76","101.56","3.5"
"2024-08-01","1578","1143","1010","27836","13582","2561417","0.48792930018680847","188.59","92.02","3.3"
"2024-09-01","1670","1187","1063","27923","12321","2385257","0.4412491494466927","193.59","85.42","3.29"
"2024-10-01","1707","1173","959","27478","11346","2394410","0.4129121479001383","211.04","87.14","3.53"
"2024-11-01","1768","1122","943","25886","10269","1832542","0.39670091941590047","178.45","70.79","3.47"
"2024-12-01","1833","1240","1155","28275","13070","2461788","0.46224580017683464","188.35","87.07","3.38"
