"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","1406","1078","948","21617","11174","3334481","0.5169079890826664","298.41","154.25","5.37"
"2024-02-01","1362","1038","971","19633","12287","4195104","0.6258340549075536","341.43","213.68","5.31"
"2024-03-01","1474","1124","988","23250","12108","3904765","0.520774193548387","322.49","167.95","5.18"
"2024-04-01","1512","1048","892","21672","9653","2983845","0.44541343669250644","309.11","137.68","4.69"
"2024-05-01","1497","1053","931","21325","9470","2466166","0.44407971864009377","260.42","115.65","4.35"
"2024-06-01","1483","1033","838","23332","8858","2377719","0.37965026572947025","268.43","101.91","4.49"
"2024-07-01","1514","1044","890","19883","9026","2392035","0.4539556404969069","265.02","120.31","5.06"
"2024-08-01","1526","1041","928","23075","10763","2574582","0.4664355362946912","239.21","111.57","4.8"
"2024-09-01","1464","861","509","15651","4839","1122607","0.3091815219474794","231.99","71.73","4.74"
"2024-10-01","1552","773","682","14540","6078","1816157","0.41801925722145805","298.81","124.91","4.55"
"2024-11-01","1552","959","910","19523","9779","3092491","0.5008963786303334","316.24","158.4","4.66"
"2024-12-01","1610","1316","1264","24995","15387","5639486","0.6156031206241248","366.51","225.62","4.99"
