"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","15155","4173","3521","96017","29983","1424805","0.31226761927575325","47.52","14.84","3.44"
"2024-02-01","15409","3887","3274","76776","31767","1477383","0.4137621131603626","46.51","19.24","3.28"
"2024-03-01","16030","4969","4451","102075","44126","2235403","0.4322899828557433","50.66","21.9","3.23"
"2024-04-01","17334","6605","6069","135974","62222","3472009","0.4576021886537132","55.8","25.53","3.16"
"2024-05-01","19413","9354","8653","203379","94015","5945339","0.46226503227963556","63.24","29.23","3.02"
"2024-06-01","21449","13045","11977","270113","137528","10160797","0.5091498743118621","73.88","37.62","3.19"
"2024-07-01","22609","16703","15846","371846","221340","18977312","0.5952464192165574","85.74","51.04","3.45"
"2024-08-01","23569","18449","17252","448195","268523","24116806","0.5991209183502716","89.81","53.81","3.32"
"2024-09-01","24052","17826","13190","402338","160581","11490178","0.3991196456710527","71.55","28.56","3"
"2024-10-01","22827","12451","8906","272116","99359","6078858","0.3651347219568125","61.18","22.34","3.03"
"2024-11-01","21567","8601","6130","186352","57384","3020453","0.3079333734008758","52.64","16.21","3.11"
"2024-12-01","20978","7015","5705","139290","50540","2642140","0.362840117739967","52.28","18.97","3.39"
