"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","81114","62492","57567","1436972","744545","56636772","0.5181346609398095","76.07","39.41","4.22"
"2024-02-01","87685","66291","58326","1401703","663553","49600037","0.47339058274113704","74.75","35.39","3.98"
"2024-03-01","91687","70243","61192","1456819","677157","44903507","0.4648188965135683","66.31","30.82","3.85"
"2024-04-01","92312","64220","52123","1512222","484766","28683090","0.32056536672525593","59.17","18.97","3.74"
"2024-05-01","90577","55348","45499","1189967","439658","24403337","0.3694707500292025","55.51","20.51","3.5"
"2024-06-01","92901","59892","53414","1209720","512171","29694243","0.4233797903647125","57.98","24.55","3.55"
"2024-07-01","93789","64986","57109","1411918","765861","51381250","0.5424259765793764","67.09","36.39","3.83"
"2024-08-01","94472","59228","46195","1338733","566126","36806891","0.42288193388823614","65.02","27.49","3.66"
"2024-09-01","93618","56282","51216","1202251","584493","34690402","0.4861655344848954","59.35","28.85","3.58"
"2024-10-01","95626","62957","55130","1398251","657523","38313247","0.4702467582715836","58.27","27.4","3.43"
"2024-11-01","96700","65506","60129","1392946","764978","47538827","0.549179939495142","62.14","34.13","3.47"
"2024-12-01","99852","76468","71740","1601451","848779","62297134","0.5300062256041552","73.4","38.9","3.77"
