"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","31773","27796","23579","671787","239080","37071690","0.35588661286985307","155.06","55.18","3.17"
"2024-02-01","30342","23073","20683","509753","250905","41134128","0.4922089717961444","163.94","80.69","3.06"
"2024-03-01","32486","27561","26462","609762","325558","56186119","0.533909951751667","172.58","92.14","3.08"
"2024-04-01","33694","28891","27411","692715","372826","65793413","0.5382097976801427","176.47","94.98","3.14"
"2024-05-01","33582","30200","29473","777776","479693","88638778","0.6167495525704059","184.78","113.96","3.04"
"2024-06-01","34627","31326","29090","752539","424354","77064849","0.5638963562021371","181.61","102.41","3.08"
"2024-07-01","37608","34892","33347","824026","576835","106217805","0.7000203877062131","184.14","128.9","3.5"
"2024-08-01","37595","34811","32501","839858","583804","108851588","0.6951222706695656","186.45","129.61","3.43"
"2024-09-01","36169","32521","29638","776092","440013","80252909","0.5669598449668338","182.39","103.41","3.15"
"2024-10-01","35372","30908","28961","766212","449420","82428763","0.5865478483761675","183.41","107.58","3.07"
"2024-11-01","34722","30307","28288","737645","361636","66370502","0.49025750869320606","183.53","89.98","2.83"
"2024-12-01","35016","31706","30649","718024","428698","77842000","0.5970524662128286","181.58","108.41","3.07"
