"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","13568","7414","6428","180665","58933","4509889","0.3262004262031938","76.53","24.96","3.47"
"2024-02-01","13805","6367","5777","136588","64031","4963244","0.46878935191964155","77.51","36.34","3.46"
"2024-03-01","13983","6947","6085","161750","65460","4686908","0.4046986089644513","71.6","28.98","3.18"
"2024-04-01","15004","7161","6279","157489","67964","4451271","0.4315476001498517","65.49","28.26","3.2"
"2024-05-01","16130","8333","7729","196338","87189","6084580","0.4440760321486416","69.79","30.99","3.1"
"2024-06-01","17413","11287","10363","224906","115067","8474768","0.5116226334557549","73.65","37.68","3.42"
"2024-07-01","17948","13751","12887","298104","182265","14671767","0.6114141373480396","80.5","49.22","3.91"
"2024-08-01","17832","14282","13237","338816","204417","17203835","0.6033274697771062","84.16","50.78","3.6"
"2024-09-01","17946","13594","10650","306060","118105","8749515","0.38588838789779784","74.08","28.59","3.26"
"2024-10-01","16783","9907","7191","211731","86257","5814223","0.40738956506132784","67.41","27.46","3.1"
"2024-11-01","15907","7456","6451","168386","68595","4685909","0.4073675958808927","68.31","27.83","2.95"
"2024-12-01","15678","9336","8889","178764","86189","6919207","0.4821384618827057","80.28","38.71","3.18"
