"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","499605","403870","366341","9691403","4325442","483807674","0.4463174217396594","111.85","49.92","4.05"
"2024-02-01","529075","377557","321648","8195827","3132298","308668673","0.38218205435522246","98.54","37.66","3.85"
"2024-03-01","533202","355912","259667","7089448","2615491","224306274","0.3689273128175847","85.76","31.64","3.5"
"2024-04-01","507472","275951","198692","6359759","1960329","153981247","0.30823951033364627","78.55","24.21","3.41"
"2024-05-01","515327","260344","229108","5613243","2221224","170402984","0.3957113561625606","76.72","30.36","3.29"
"2024-06-01","519416","262880","230734","5961689","2185977","162306728","0.366670753875286","74.25","27.22","3.21"
"2024-07-01","525796","257981","230744","5993782","2972189","227030507","0.4958787289894761","76.38","37.88","3.36"
"2024-08-01","520622","257597","210164","6225608","2417634","166808612","0.3883370106180794","69","26.79","3.13"
"2024-09-01","530921","271820","245171","6243967","2730249","192964195","0.43726192018631743","70.68","30.9","3.13"
"2024-10-01","539145","297403","256764","7027969","2971847","211747388","0.4228600040779918","71.25","30.13","3.19"
"2024-11-01","553715","360092","341684","8174720","3652093","279292494","0.44675450657637206","76.47","34.17","3.12"
"2024-12-01","604243","500452","475592","9607389","4994910","476073326","0.5199029621887903","95.31","49.55","3.71"
