"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","2908","2504","2363","62288","41808","10474372","0.6712047264320575","250.54","168.16","4.46"
"2024-02-01","2851","2470","2354","57269","41315","10562515","0.7214199654263214","255.66","184.44","4.42"
"2024-03-01","2971","2584","2487","64986","44031","11504246","0.6775459329701782","261.28","177.03","4"
"2024-04-01","3054","2616","2398","66126","33344","8367358","0.504249463146115","250.94","126.54","3.81"
"2024-05-01","2976","2464","2225","61222","30288","7832775","0.49472411878083045","258.61","127.94","3.64"
"2024-06-01","2954","2401","2175","58511","28775","8155932","0.49178786894771925","283.44","139.39","3.93"
"2024-07-01","3010","2504","2373","62055","31411","8461681","0.5061800016114737","269.39","136.36","3.61"
"2024-08-01","2993","2487","2074","62641","25151","6335140","0.4015101930045817","251.88","101.13","3.71"
"2024-09-01","3019","2187","1742","49182","17590","4209430","0.35765117319344475","239.31","85.59","3.99"
"2024-10-01","3054","2096","1758","48144","19208","4499139","0.3989697573944832","234.23","93.45","3.76"
"2024-11-01","3201","2494","2376","56305","28798","7696093","0.5114643459728265","267.24","136.69","3.86"
"2024-12-01","3255","2875","2772","66442","39843","10970189","0.5996658739953644","275.34","165.11","3.95"
