"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","153528","107540","91152","2490739","982115","180601361","0.39430666962696614","183.89","72.51","3.71"
"2024-02-01","152199","98900","89282","2074202","1068788","200358374","0.5152767184681145","187.46","96.6","3.45"
"2024-03-01","151041","105356","94997","2377799","1226557","218869167","0.5158371250050993","178.44","92.05","3.56"
"2024-04-01","154121","108400","95484","2398820","1107535","170259763","0.46169991912690406","153.73","70.98","3.49"
"2024-05-01","165001","125485","117917","2797796","1551102","265296041","0.554401393096566","171.04","94.82","3.31"
"2024-06-01","172807","148141","140707","3247167","2022167","399993330","0.6227480754762537","197.8","123.18","3.33"
"2024-07-01","181119","158853","151951","3759461","2618825","565979073","0.696595868397092","216.12","150.55","3.43"
"2024-08-01","183311","160558","152480","3839612","2777920","600469520","0.7234897692787708","216.16","156.39","3.3"
"2024-09-01","177521","153295","134851","3540265","1896908","356110285","0.5358096074728869","187.73","100.59","3.22"
"2024-10-01","175023","135042","118705","3138366","1540530","262782679","0.49087008972184887","170.58","83.73","3.2"
"2024-11-01","165598","119387","96279","2595462","1167143","187448460","0.4496860289227891","160.6","72.22","3.3"
"2024-12-01","163030","117871","109809","2619602","1338841","244034158","0.5110856534694965","182.27","93.16","3.54"
