"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","43289","35424","31696","806696","382861","96980221","0.4746038160595813","253.3","120.22","3.99"
"2024-02-01","42328","32917","30241","684490","445769","118757066","0.6512425309354409","266.41","173.5","4.47"
"2024-03-01","43769","34994","32218","792872","408095","102307256","0.5147047694962112","250.69","129.03","3.79"
"2024-04-01","45465","34999","29585","768622","353352","74744569","0.4597214235345853","211.53","97.24","3.47"
"2024-05-01","45009","34562","31456","777149","439560","93047802","0.5656058233363229","211.68","119.73","3.31"
"2024-06-01","47756","38190","35120","823361","500002","110787378","0.6072694723213754","221.57","134.56","3.49"
"2024-07-01","48888","42290","39732","933190","635287","145323344","0.6807691895541101","228.75","155.73","3.87"
"2024-08-01","49090","41898","38581","967252","639093","144839606","0.6607306058814042","226.63","149.74","3.78"
"2024-09-01","48078","39917","34431","889396","483351","102830734","0.5434598311663196","212.75","115.62","3.53"
"2024-10-01","46890","35355","30975","811989","411144","84530897","0.5063418346800265","205.6","104.1","3.49"
"2024-11-01","44962","30727","24563","664691","269989","52747133","0.40618723587351113","195.37","79.36","3.3"
"2024-12-01","46889","37730","36336","727127","446112","113645367","0.6135269354596927","254.75","156.29","3.84"
