"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","64128","46216","43001","1071618","516368","45382021","0.48185827412380156","87.89","42.35","3.65"
"2024-02-01","67060","51172","46850","1115673","628417","56922155","0.563262712282183","90.58","51.02","3.7"
"2024-03-01","66515","50246","38119","1135195","362732","28376845","0.31953276749809506","78.23","25","3.17"
"2024-04-01","64549","38051","26279","882744","234951","15860050","0.26615983795981624","67.5","17.97","3.06"
"2024-05-01","64415","32501","26081","712437","239458","16689392","0.3361111228080518","69.7","23.43","3"
"2024-06-01","64020","33851","28988","704518","292167","22460191","0.4147048052711215","76.87","31.88","3.25"
"2024-07-01","64535","34486","29803","824172","364189","29856451","0.4418847036783584","81.98","36.23","3.3"
"2024-08-01","65062","33428","28823","764122","327789","25896496","0.42897469252292175","79","33.89","3.22"
"2024-09-01","68097","41940","38343","907392","372626","30764752","0.4106560339963323","82.56","33.9","3.26"
"2024-10-01","67601","43747","35703","987690","326897","22866638","0.3309712561633711","69.95","23.15","2.93"
"2024-11-01","70833","44441","41472","1041400","408198","28872245","0.39197042442865376","70.73","27.72","2.81"
"2024-12-01","76867","53140","49010","1033991","463015","37825015","0.4477940330234983","81.69","36.58","3.14"
