"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","100945","69175","62933","1763347","717319","73871034","0.4067940116154109","102.98","41.89","3.61"
"2024-02-01","105098","62437","49180","1287873","552335","51597923","0.428873809762298","93.42","40.06","3.49"
"2024-03-01","106557","64729","57884","1388471","664379","64324992","0.4784968501322678","96.82","46.33","3.44"
"2024-04-01","106454","62156","47988","1516859","489540","46093373","0.3227326996114998","94.16","30.39","3.46"
"2024-05-01","106323","59517","52221","1348498","558637","52629558","0.41426609457336977","94.21","39.03","3.3"
"2024-06-01","106761","65516","61343","1449721","682609","60708686","0.4708554266648548","88.94","41.88","3.29"
"2024-07-01","108130","66371","57638","1623610","674530","61490908","0.41545075479949","91.16","37.87","3.36"
"2024-08-01","113232","65644","60004","1568401","714919","65748209","0.45582666677718264","91.97","41.92","3.2"
"2024-09-01","112727","63549","53587","1493284","587655","50551478","0.39353197382413524","86.02","33.85","3.21"
"2024-10-01","115543","66682","60373","1604579","673800","56509681","0.41992323219984806","83.87","35.22","3.25"
"2024-11-01","117249","70055","62202","1646557","702448","60052796","0.42661626654892604","85.49","36.47","3.12"
"2024-12-01","119818","84503","80894","1810677","946147","90649395","0.5225377027487509","95.81","50.06","3.43"
