"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","19252","10071","8968","243675","105082","5734269","0.4312383297424849","54.57","23.53","3.03"
"2024-02-01","19323","9625","8459","212807","96735","5713294","0.4545668140615675","59.06","26.85","2.97"
"2024-03-01","19248","9505","8143","229867","98922","5997890","0.4303445035607547","60.63","26.09","2.95"
"2024-04-01","19514","8885","7514","209802","81785","5026332","0.38981992545352284","61.46","23.96","3.04"
"2024-05-01","19722","9260","7734","210297","72408","4402691","0.3443130429820682","60.8","20.94","3.09"
"2024-06-01","19478","8635","6433","190388","64064","3820028","0.33649179570140975","59.63","20.06","3.27"
"2024-07-01","17806","8095","7042","186038","78687","4467327","0.4229619755103796","56.77","24.01","3.12"
"2024-08-01","18161","8180","7137","195006","81538","4663811","0.41813072418284564","57.2","23.92","3.06"
"2024-09-01","18189","7679","5973","170698","57471","3339437","0.3366823278538706","58.11","19.56","3.42"
"2024-10-01","18281","7205","6176","164547","61396","3424727","0.37312135742371483","55.78","20.81","3.22"
"2024-11-01","18186","7968","7289","183788","81888","4491703","0.44555683722549894","54.85","24.44","3.01"
"2024-12-01","18078","8592","7769","202980","90882","4927659","0.4477386934673367","54.22","24.28","3.11"
