"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","3168","2685","2528","52776","37929","7088292","0.7186789449749886","186.88","134.31","6.54"
"2024-02-01","3164","2616","2454","47995","36459","8420863","0.7596416293363892","230.97","175.45","6.31"
"2024-03-01","3294","2753","2559","55972","38735","7263762","0.6920424497963268","187.52","129.77","5.79"
"2024-04-01","3515","2734","2464","54022","31063","5758641","0.5750064788419533","185.39","106.6","5.34"
"2024-05-01","3630","2803","2431","58188","29508","5487242","0.5071148690451639","185.96","94.3","4.94"
"2024-06-01","3678","2667","2338","54837","27925","5210707","0.5092364644309499","186.6","95.02","5.1"
"2024-07-01","3684","2792","2605","54927","32547","6442276","0.5925501119667923","197.94","117.29","5.61"
"2024-08-01","3770","2867","2612","58885","34261","6623426","0.5818289887068014","193.32","112.48","5.19"
"2024-09-01","3860","2803","2385","57804","28199","4861320","0.4878382118884506","172.39","84.1","5.19"
"2024-10-01","3795","2707","2494","56185","29477","5380583","0.524641808311827","182.53","95.77","5.15"
"2024-11-01","3860","2929","2704","57223","34340","6336716","0.6001083480418713","184.53","110.74","5.51"
"2024-12-01","3834","3360","3250","62033","42394","8177188","0.6834104428288169","192.89","131.82","5.6"
