"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","270902","219188","187990","5296222","1731870","222367279","0.32700102072760545","128.4","41.99","3.93"
"2024-02-01","266109","186009","164656","3958469","1866203","240516120","0.47144565234690483","128.88","60.76","3.63"
"2024-03-01","287218","230961","214162","4937217","2595339","344493218","0.5256684079310268","132.74","69.77","3.91"
"2024-04-01","297368","244264","217196","5858329","2606145","349371467","0.4448614954878772","134.06","59.64","3.84"
"2024-05-01","306880","273225","264771","6722772","4176380","601033501","0.6212288621419855","143.91","89.4","4.03"
"2024-06-01","315716","297141","281240","7104406","4357807","628912601","0.6133949833385085","144.32","88.52","4.42"
"2024-07-01","324484","305544","290407","7411676","5175479","767182725","0.6982872699778025","148.23","103.51","4.82"
"2024-08-01","328372","304180","290728","7537492","5611891","843915656","0.7445302761183693","150.38","111.96","4.67"
"2024-09-01","334097","308583","283468","7399931","4699652","673255419","0.6350940299308196","143.26","90.98","4.39"
"2024-10-01","338473","307204","285534","7512197","4268636","607037662","0.5682273774236751","142.21","80.81","4.06"
"2024-11-01","322558","281736","223043","6190593","2423663","314472524","0.39150740486412205","129.75","50.8","3.88"
"2024-12-01","322458","271262","252272","5391261","2884025","396972375","0.5349444220934583","137.65","73.63","3.8"
