"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","48653","34908","29682","715109","257784","43452152","0.3604821083219481","168.56","60.76","4.29"
"2024-02-01","48400","29138","25683","547210","270754","49831068","0.4947899343944738","184.05","91.06","4.19"
"2024-03-01","55931","39060","36928","714388","414995","77367675","0.5809098137146761","186.43","108.3","4.52"
"2024-04-01","57040","43209","38117","883253","415693","77825340","0.47063865053387877","187.22","88.11","4.25"
"2024-05-01","61616","51371","49082","1037433","629675","123437436","0.6069548587716026","196.03","118.98","4.06"
"2024-06-01","68702","58964","55935","1138068","702524","133848851","0.6172952758534639","190.53","117.61","4.56"
"2024-07-01","78479","69340","65146","1415059","1066543","197214832","0.7537092092979869","184.91","139.37","5.05"
"2024-08-01","69668","65669","62377","1380642","1054409","200639567","0.7637092019509765","190.29","145.32","4.83"
"2024-09-01","62424","55312","47138","1171281","658184","130328160","0.5619351803708931","198.01","111.27","4.27"
"2024-10-01","60205","48811","44064","1007931","606072","124486340","0.6013030653884046","205.4","123.51","4.39"
"2024-11-01","51854","38623","32105","763171","336529","68457525","0.44096146211006443","203.42","89.7","3.85"
"2024-12-01","54055","40562","37908","696213","380958","79565254","0.5471859904942884","208.86","114.28","4.06"
