"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","26146","14922","11401","366449","73507","5154786","0.20059271549383406","70.13","14.07","3.19"
"2024-02-01","26504","13279","11748","284307","83520","6158418","0.29376694910783063","73.74","21.66","2.91"
"2024-03-01","26690","14402","11051","299528","90545","6570772","0.3022922731764643","72.57","21.94","2.83"
"2024-04-01","27042","12660","9359","306041","73804","4846869","0.24115723056714622","65.67","15.84","2.91"
"2024-05-01","27305","13313","11674","304872","90519","6068331","0.2969082106588995","67.04","19.9","2.71"
"2024-06-01","27548","13264","10295","306725","84651","5083159","0.2759833727280137","60.05","16.57","2.76"
"2024-07-01","27985","13525","12033","315628","112487","7564900","0.35639106796608666","67.25","23.97","2.82"
"2024-08-01","28518","16008","14353","393372","135441","10167159","0.344307678228242","75.07","25.85","2.73"
"2024-09-01","29289","15390","10937","336683","88597","5312971","0.26314663942046373","59.97","15.78","2.71"
"2024-10-01","29999","14550","12888","328941","94905","5546182","0.28851678568497086","58.44","16.86","2.68"
"2024-11-01","30691","16392","14526","407942","105854","6429803","0.2594829657157145","60.74","15.76","2.64"
"2024-12-01","30824","18656","17187","334182","122407","8876441","0.3662884296580905","72.52","26.56","2.9"
