"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","25765","9720","8350","218576","75528","5374385","0.3455457140765683","71.16","24.59","3.96"
"2024-02-01","25669","8619","6740","168822","68607","4595243","0.40638660838042434","66.98","27.22","3.76"
"2024-03-01","26516","8153","6576","181467","57452","3853971","0.3165975080868698","67.08","21.24","3.96"
"2024-04-01","27949","10338","9395","206516","92910","7903188","0.4498925022758527","85.06","38.27","3.95"
"2024-05-01","29308","11812","9755","255792","101059","8351400","0.39508272346281353","82.64","32.65","3.8"
"2024-06-01","31593","13161","11408","262832","115228","10692367","0.43840932610945393","92.79","40.68","3.99"
"2024-07-01","31821","14715","11773","304822","129941","13931814","0.42628484820649426","107.22","45.7","4.12"
"2024-08-01","32734","13746","11932","306110","133036","14678412","0.4346019404789128","110.33","47.95","3.93"
"2024-09-01","34921","13539","10335","279238","105402","8509085","0.37746295274998387","80.73","30.47","3.74"
"2024-10-01","36318","12813","10553","277743","118388","8863782","0.4262501665208484","74.87","31.91","3.76"
"2024-11-01","37023","12760","10784","272041","126320","8648485","0.464341772012307","68.46","31.79","3.83"
"2024-12-01","37667","14544","12956","288661","138598","9890640","0.480141065124835","71.36","34.26","3.89"
