"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","19098","15276","13243","352990","139329","22465151","0.3947108983257316","161.24","63.64","3.36"
"2024-02-01","19125","14253","13197","307881","170601","27053842","0.5541134399329611","158.58","87.87","3.5"
"2024-03-01","19589","15161","14250","357261","191901","29450257","0.5371451123968192","153.47","82.43","3.51"
"2024-04-01","19226","14788","12721","336365","135296","17988621","0.40222972069032153","132.96","53.48","3.27"
"2024-05-01","20462","15639","13923","342733","146621","18136690","0.42779948239591753","123.7","52.92","2.99"
"2024-06-01","22480","19183","18454","423607","237402","32698635","0.5604298323682092","137.74","77.19","3.11"
"2024-07-01","22701","20158","19034","491107","300012","42473028","0.6108892766749405","141.57","86.48","3.11"
"2024-08-01","23409","20173","18318","481186","249847","34609929","0.5192316484685756","138.52","71.93","3.06"
"2024-09-01","21815","17820","15509","406927","177416","25167885","0.4359897475468573","141.86","61.85","3.17"
"2024-10-01","21133","15917","13701","366712","156851","20982981","0.42772257248194767","133.78","57.22","3.02"
"2024-11-01","21975","15960","14132","339461","154236","23223126","0.4543555813480783","150.57","68.41","2.96"
"2024-12-01","22772","17977","16916","395012","220333","48314284","0.5577881178293318","219.28","122.31","3.3"
