"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","337434","278865","242712","6744885","2605104","582002214","0.3862340128853198","223.41","86.29","3.55"
"2024-02-01","331173","250453","233849","5615255","2896921","625784692","0.515901949243623","216.02","111.44","3.42"
"2024-03-01","354763","293169","273120","6669463","3639706","807601767","0.5457269948120261","221.89","121.09","3.51"
"2024-04-01","369469","311439","292363","7444768","4036657","927814424","0.5422139413880996","229.85","124.63","3.48"
"2024-05-01","369688","331558","319348","8037509","5184651","1234429347","0.6450569448818035","238.09","153.58","3.41"
"2024-06-01","384857","347748","332928","8309035","5349059","1286865311","0.6437641675597707","240.58","154.88","3.49"
"2024-07-01","392055","361648","346678","8789966","6176921","1524300372","0.7027241061000691","246.77","173.41","3.59"
"2024-08-01","397664","370071","355180","8802163","6555707","1648817288","0.7447836401120952","251.51","187.32","3.65"
"2024-09-01","386709","356364","332433","8282599","5364641","1278379771","0.64770019652044","238.3","154.35","3.56"
"2024-10-01","369512","330376","304722","8025159","4814297","1143401625","0.5999005128745736","237.5","142.48","3.41"
"2024-11-01","360240","312095","281351","7301171","3755720","865622150","0.5143996764354649","230.48","118.56","3.22"
"2024-12-01","364382","316918","301999","7194299","4096578","984661177","0.5694200366151031","240.36","136.87","3.44"
