"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","15975","14005","12182","362037","144977","12760681","0.4004480205061914","88.02","35.25","3.26"
"2024-02-01","15424","11626","10818","274125","150420","12101075","0.5487277701778386","80.45","44.14","3.18"
"2024-03-01","16365","13341","12996","327341","187580","16702655","0.5730415682728408","89.04","51.03","3.19"
"2024-04-01","17441","14469","13743","361860","206511","19495212","0.5706930857237605","94.4","53.88","3.22"
"2024-05-01","18628","16331","15821","413183","257453","26019123","0.6230967876219496","101.06","62.97","3.1"
"2024-06-01","19989","18294","17707","445081","274058","30161337","0.6157485940761345","110.05","67.77","3.18"
"2024-07-01","21289","20301","19761","511954","354171","42441412","0.6918023884958414","119.83","82.9","3.43"
"2024-08-01","21726","20684","19681","523387","374150","44782493","0.7148629981256699","119.69","85.56","3.45"
"2024-09-01","20507","19245","16681","462300","265961","25880533","0.5752995890114644","97.31","55.98","3.3"
"2024-10-01","18735","16047","14829","410706","249041","22383141","0.6063729285669067","89.88","54.5","3.17"
"2024-11-01","17621","14723","13717","378551","215867","18350281","0.5702454887188252","85.01","48.48","3.04"
"2024-12-01","18187","16235","15940","392828","270588","26695180","0.6888205525064405","98.66","67.96","3.16"
