"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","19627","15411","12836","370827","118624","18480973","0.31989040711706535","155.79","49.84","3.49"
"2024-02-01","19491","13674","12275","291708","130161","21975413","0.4462030523674359","168.83","75.33","3.12"
"2024-03-01","22117","17877","16939","393011","205009","37622099","0.5216367989700034","183.51","95.73","3.09"
"2024-04-01","22878","19165","17294","454057","221909","40359159","0.48872498386766416","181.87","88.89","3.05"
"2024-05-01","24536","22224","21414","525628","332952","63065357","0.6334365749161004","189.41","119.98","2.94"
"2024-06-01","25699","23925","22637","575831","363088","72067647","0.6305461150927963","198.49","125.15","3"
"2024-07-01","26434","25362","23864","618747","432162","85380622","0.6984470227734437","197.57","137.99","3.23"
"2024-08-01","27291","25913","25383","631652","486032","96857828","0.7694616656006789","199.28","153.34","3.04"
"2024-09-01","26256","24534","21938","583817","350225","66370483","0.5998883211691335","189.51","113.68","2.96"
"2024-10-01","24131","21480","19179","514771","270215","50063687","0.5249227326325686","185.27","97.25","3"
"2024-11-01","22750","18700","16151","442114","181829","32650037","0.4112717534391582","179.56","73.85","2.98"
"2024-12-01","22760","18274","17130","395690","199987","36907718","0.5054133286158357","184.55","93.27","3.36"
