"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","22635","9793","7951","204982","74557","14531674","0.36372461972270737","194.91","70.89","3.94"
"2024-02-01","21713","9156","7723","180089","78552","14966853","0.4361843310807434","190.53","83.11","3.41"
"2024-03-01","21587","10150","9119","211296","89912","18521486","0.425526275935181","206","87.66","3.41"
"2024-04-01","22004","12010","10779","236223","110858","28432220","0.46929384522252277","256.47","120.36","3.32"
"2024-05-01","21117","11961","9787","264295","95310","22319080","0.3606197620083619","234.17","84.45","3.32"
"2024-06-01","20709","11341","10207","240693","114114","28259089","0.4741060188705114","247.64","117.41","3.37"
"2024-07-01","20991","11927","10462","258408","122755","32230983","0.47504334231138357","262.56","124.73","3.39"
"2024-08-01","21429","12429","11286","268495","142127","42548442","0.5293469152125738","299.37","158.47","3.22"
"2024-09-01","21506","12065","9207","271102","87789","20665682","0.32382276781432817","235.4","76.23","3.19"
"2024-10-01","21899","11774","10208","255413","100033","26719684","0.3916519519366673","267.11","104.61","3.26"
"2024-11-01","20966","10420","7976","214619","71578","14554538","0.33351194442244164","203.34","67.82","3.16"
"2024-12-01","21405","10658","9696","206135","86975","18890142","0.4219322288791326","217.19","91.64","3.09"
