"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","6121","5140","4315","113622","47507","10570492","0.41811444966643785","222.5","93.03","3.15"
"2024-02-01","6033","4664","4514","96678","60668","14040028","0.6275264279360351","231.42","145.22","2.78"
"2024-03-01","6332","5275","4674","116290","72724","16911828","0.6253676154441482","232.55","145.43","2.56"
"2024-04-01","6521","5318","4569","117318","53238","11953556","0.45379225694266867","224.53","101.89","2.58"
"2024-05-01","7189","5945","5713","128595","71980","16872430","0.5597418251098409","234.4","131.21","2.49"
"2024-06-01","7966","7180","6953","159103","107004","28011499","0.6725454579737654","261.78","176.06","2.47"
"2024-07-01","8513","7864","7619","181675","136310","37308527","0.7502958579881657","273.7","205.36","2.44"
"2024-08-01","8345","7816","7556","180277","141415","38467424","0.7844317356068716","272.02","213.38","2.33"
"2024-09-01","7642","7143","6633","157368","105748","26538111","0.6719790554623557","250.96","168.64","2.24"
"2024-10-01","7143","6484","6093","146607","95185","23617654","0.6492527641927057","248.12","161.09","2.4"
"2024-11-01","6549","5583","4734","122136","63569","15069863","0.5204771729874894","237.06","123.39","2.7"
"2024-12-01","6643","5801","5464","113201","66061","16223548","0.5835725832810664","245.58","143.32","3.15"
