"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","399581","251729","217870","6012867","1984658","309432141","0.3300685014320124","155.91","51.46","3.45"
"2024-02-01","392953","202238","176176","4210143","2081717","327508951","0.4944528012468935","157.33","77.79","3.31"
"2024-03-01","437833","260355","242759","5385433","2821592","488121391","0.5239303877701199","173","90.64","3.31"
"2024-04-01","487118","329376","313767","7316781","3950784","697007764","0.5399620406842845","176.42","95.26","3.29"
"2024-05-01","521076","387456","359982","9096982","5222922","978249261","0.5741378844104561","187.3","107.54","3.3"
"2024-06-01","559048","451336","431928","10064145","6069598","1192455591","0.6030912710419017","196.46","118.49","3.54"
"2024-07-01","562106","488535","464811","11307219","7528440","1517502197","0.665808276995431","201.57","134.21","3.9"
"2024-08-01","565676","508681","487584","11956470","8550318","1712208993","0.7151205999764144","200.25","143.2","4.12"
"2024-09-01","581398","513154","425201","11788550","6426099","1235124307","0.5451136059990415","192.2","104.77","3.5"
"2024-10-01","529350","412334","335258","9355530","4913686","902285816","0.525217277909429","183.63","96.44","3.27"
"2024-11-01","462763","306809","252930","6947483","2753700","438045186","0.3963593721639909","159.08","63.05","3.1"
"2024-12-01","431583","289985","272873","5777530","2773619","459562833","0.4800700299262834","165.69","79.54","3.27"
