"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","14450","9562","8116","222129","86201","28772368","0.38806729422992947","333.78","129.53","4.2"
"2024-02-01","14418","8289","6636","164781","73092","23971220","0.4435705572851239","327.96","145.47","4.04"
"2024-03-01","14799","8578","7762","180807","88950","35404443","0.49196104133136437","398.03","195.81","4.12"
"2024-04-01","15027","8646","7293","203606","76939","22947525","0.37788179130281035","298.26","112.71","3.95"
"2024-05-01","15004","7885","6378","171456","64673","15527581","0.37719881485628964","240.09","90.56","3.74"
"2024-06-01","15217","7867","6935","168574","72060","19700789","0.42746805557203366","273.39","116.87","3.96"
"2024-07-01","15499","9302","8538","193909","98632","23040721","0.5086509651434435","233.6","118.82","4.08"
"2024-08-01","15391","9649","8378","219731","95457","22205487","0.4344266398459935","232.62","101.06","4.02"
"2024-09-01","15557","8680","5981","167709","53979","10359036","0.3218610808006726","191.91","61.77","3.89"
"2024-10-01","15684","7565","6488","158747","61956","13868150","0.3902813911443996","223.84","87.36","3.71"
"2024-11-01","15960","7808","6415","166868","62787","19493414","0.37626746889757173","310.47","116.82","3.85"
"2024-12-01","16478","10386","9924","189703","106851","35477627","0.5632541393652183","332.03","187.02","4.42"
