"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","33454","10679","8348","242606","66896","5278715","0.2757392644864513","78.91","21.76","3.82"
"2024-02-01","33858","8481","6561","156715","56707","4477500","0.3618479405289857","78.96","28.57","3.71"
"2024-03-01","34069","8355","7113","174854","60439","4664648","0.34565408855387925","77.18","26.68","3.62"
"2024-04-01","33887","8235","6537","178231","54146","3929891","0.30379675813971757","72.58","22.05","3.56"
"2024-05-01","34274","7993","6413","164812","50964","3282288","0.30922505642793","64.4","19.92","3.5"
"2024-06-01","34671","8215","6948","172948","62960","4230693","0.3640400582834147","67.2","24.46","3.52"
"2024-07-01","35516","9214","7815","199184","69523","5381846","0.34903907944413204","77.41","27.02","3.61"
"2024-08-01","36111","9822","8172","211418","83110","6679725","0.39310749321249844","80.37","31.59","3.43"
"2024-09-01","37305","9361","7023","205065","60168","4117009","0.29340940677346206","68.43","20.08","3.42"
"2024-10-01","38933","9582","7977","204148","68091","5331078","0.3335374336265846","78.29","26.11","3.37"
"2024-11-01","38493","10200","8242","211319","73381","5259512","0.34725225843393165","71.67","24.89","3.5"
"2024-12-01","38973","13497","12283","260254","125569","10692610","0.48248634026758475","85.15","41.09","3.86"
