"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","507","333","295","8305","4102","225042","0.49391932570740515","54.86","27.1","3.02"
"2024-02-01","546","355","329","8358","4727","277432","0.5655659248624073","58.69","33.19","2.82"
"2024-03-01","567","369","293","8656","3414","187516","0.3944085027726433","54.93","21.66","3.01"
"2024-04-01","563","331","288","7825","3051","157705","0.3899041533546326","51.69","20.15","3"
"2024-05-01","575","333","273","7740","2333","113906","0.30142118863049094","48.82","14.72","2.94"
"2024-06-01","579","294","239","6604","2364","118323","0.3579648697758934","50.05","17.92","3.28"
"2024-07-01","611","298","267","7118","2757","131552","0.38732790109581344","47.72","18.48","3.44"
"2024-08-01","642","314","277","7452","2696","125722","0.36178207192699946","46.63","16.87","3.42"
"2024-09-01","665","333","291","7408","2800","131611","0.3779697624190065","47","17.77","3.3"
"2024-10-01","713","390","356","9199","3821","202862","0.41537123600391346","53.09","22.05","3.03"
"2024-11-01","756","455","420","10161","5270","268116","0.5186497391988978","50.88","26.39","3.21"
"2024-12-01","786","522","492","12661","7099","388498","0.5606982070926467","54.73","30.68","3.06"
