"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","5322","3708","3159","91597","28675","2202957","0.3130561044575696","76.83","24.05","3.01"
"2024-02-01","5330","3245","2937","70262","26246","1926287","0.373544732572372","73.39","27.42","2.79"
"2024-03-01","5451","3466","3140","81001","32072","2376737","0.39594572906507325","74.11","29.34","2.82"
"2024-04-01","5728","3720","3289","83882","35537","2687840","0.42365465773348276","75.63","32.04","2.91"
"2024-05-01","6248","4560","4349","103511","50815","4178229","0.4909140091391253","82.22","40.37","2.8"
"2024-06-01","6708","5752","5553","123930","68813","6410338","0.5552569999193093","93.16","51.73","2.92"
"2024-07-01","7109","6251","6043","148746","95038","9725085","0.6389281056297312","102.33","65.38","3.08"
"2024-08-01","7181","6489","6210","155792","98018","10060802","0.6291593920098593","102.64","64.58","2.89"
"2024-09-01","6935","6038","4754","137850","55935","4752924","0.4057671381936888","84.97","34.48","2.92"
"2024-10-01","6446","4616","3702","108207","43049","3447813","0.397839326476106","80.09","31.86","2.88"
"2024-11-01","6227","3996","3555","93194","36689","2820337","0.3936841427559714","76.87","30.26","2.79"
"2024-12-01","6342","4399","4211","95439","45252","3741246","0.47414578945714014","82.68","39.2","2.84"
