"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","4251","3136","2711","76574","24825","1832206","0.32419620236633845","73.8","23.93","3.13"
"2024-02-01","4053","2623","2382","57024","23498","1642767","0.41207210998877664","69.91","28.81","2.91"
"2024-03-01","4211","2835","2648","64609","28519","2094486","0.44140909161262365","73.44","32.42","2.95"
"2024-04-01","4391","2988","2734","70382","29533","2221668","0.4196101275894405","75.23","31.57","3.02"
"2024-05-01","4859","3720","3521","85661","43114","3592891","0.5033095574415428","83.33","41.94","2.93"
"2024-06-01","5472","4635","4434","102516","57219","5180323","0.5581470209528269","90.54","50.53","2.94"
"2024-07-01","5706","5239","5049","119727","83422","7976391","0.6967684816290394","95.61","66.62","3.06"
"2024-08-01","5758","5352","5197","124547","83974","7931513","0.6742354291954041","94.45","63.68","2.93"
"2024-09-01","5305","4626","3702","106431","45117","3757743","0.42390844772669617","83.29","35.31","3.03"
"2024-10-01","4848","3488","2984","83649","36317","2932701","0.4341594041769776","80.75","35.06","2.88"
"2024-11-01","4523","3067","2663","73752","31109","2394798","0.4218055103590411","76.98","32.47","2.82"
"2024-12-01","4674","3493","3397","77594","40359","3386944","0.5201304224553445","83.92","43.65","2.92"
