"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","14405","4664","3996","110326","26491","2065235","0.24011565723401557","77.96","18.72","3.74"
"2024-02-01","14647","3461","2723","62938","23174","1579047","0.3682036289681909","68.14","25.09","3.46"
"2024-03-01","14976","3808","3159","75027","28779","2018038","0.38358191051221563","70.12","26.9","3.68"
"2024-04-01","16209","5755","5392","110148","54549","4554952","0.4952336855866652","83.5","41.35","3.52"
"2024-05-01","18197","8669","8185","195535","89608","8760836","0.45827089779323393","97.77","44.8","3.34"
"2024-06-01","19883","12055","11347","252160","142549","15854120","0.5653117068527919","111.22","62.87","3.69"
"2024-07-01","20258","15748","15277","347078","246912","30521120","0.7114020479546385","123.61","87.94","4.01"
"2024-08-01","20736","16973","16320","411202","278529","34183318","0.6773532229901605","122.73","83.13","3.82"
"2024-09-01","21161","16242","11358","357863","147442","16255458","0.4120068294291391","110.25","45.42","3.46"
"2024-10-01","18991","10028","6546","209184","68565","6410865","0.32777363469481413","93.5","30.65","3.32"
"2024-11-01","16916","5642","3612","110172","29762","2210392","0.27014123370729404","74.27","20.06","3.65"
"2024-12-01","16520","5718","5261","83834","34223","2692917","0.4082233938497507","78.69","32.12","3.43"
