"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","3255","2022","1758","51692","11526","519252","0.22297454151512808","45.05","10.05","3.14"
"2024-02-01","3221","1347","1066","27703","9445","399513","0.3409378045699022","42.3","14.42","3.06"
"2024-03-01","3461","1516","1314","32248","12490","524483","0.3873108409823865","41.99","16.26","3.14"
"2024-04-01","3714","1803","1599","36794","15182","675746","0.4126216230907213","44.51","18.37","3.14"
"2024-05-01","3757","2178","2055","52254","21718","1032193","0.4156236843112489","47.53","19.75","2.91"
"2024-06-01","3989","2521","2288","53906","25542","1233445","0.4738248061440285","48.29","22.88","2.81"
"2024-07-01","4235","2988","2796","64040","35550","1867954","0.5551217988757027","52.54","29.17","3.17"
"2024-08-01","4315","3206","3058","75941","42223","2268265","0.5559974190489986","53.72","29.87","2.98"
"2024-09-01","4425","3094","2427","67766","27418","1370116","0.40459817607649856","49.97","20.22","2.94"
"2024-10-01","4332","2552","2006","56825","22002","1015818","0.3871887373515178","46.17","17.88","2.95"
"2024-11-01","4235","2085","1652","45697","15676","670135","0.34304221283672887","42.75","14.66","2.8"
"2024-12-01","4251","2648","2504","44570","18579","872067","0.4168498990352255","46.94","19.57","2.98"
