"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","909","227","179","4663","1587","70750","0.34033883765816","44.58","15.17","3.82"
"2024-02-01","940","216","167","3718","1317","59284","0.3542227003765465","45.01","15.95","3.99"
"2024-03-01","953","234","186","4448","1579","73051","0.3549910071942446","46.26","16.42","3.93"
"2024-04-01","1014","265","213","4372","1769","77801","0.4046203110704483","43.98","17.8","4.03"
"2024-05-01","1086","357","322","6706","2785","133862","0.4152997315836564","48.07","19.96","3.46"
"2024-06-01","1198","485","418","9479","4080","215808","0.43042515033231354","52.89","22.77","3.47"
"2024-07-01","1297","645","581","12966","5799","295099","0.44724664507172607","50.89","22.76","3.32"
"2024-08-01","1345","675","540","13353","5941","309220","0.44491874485134425","52.05","23.16","2.98"
"2024-09-01","1326","615","483","11954","4706","231428","0.3936757570687636","49.18","19.36","3.17"
"2024-10-01","1297","509","363","9916","2906","138712","0.29306171843485274","47.73","13.99","3.64"
"2024-11-01","1280","355","254","6052","2143","96468","0.35409781890284203","45.02","15.94","4.17"
"2024-12-01","1249","335","244","5686","2046","101731","0.35983116426310235","49.72","17.89","3.88"
