"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","1166","522","445","13583","4841","706171","0.356401384083045","145.87","51.99","3.35"
"2024-02-01","1232","492","378","9661","4337","513963","0.44891833143566917","118.51","53.2","3.15"
"2024-03-01","1292","436","323","9977","3532","397224","0.35401423273529115","112.46","39.81","2.95"
"2024-04-01","1333","373","269","7507","2475","282267","0.32969228719861465","114.05","37.6","2.98"
"2024-05-01","1337","330","232","7351","2138","228293","0.290844783022718","106.78","31.06","2.61"
"2024-06-01","1380","327","264","6538","2383","264283","0.3644845518507189","110.9","40.42","2.65"
"2024-07-01","1408","354","271","7546","2415","260460","0.3200371057513915","107.85","34.52","2.48"
"2024-08-01","1438","372","307","8228","2869","330712","0.34868740884783667","115.27","40.19","2.49"
"2024-09-01","1476","360","280","7474","2429","260509","0.324993310141825","107.25","34.86","2.47"
"2024-10-01","1531","397","307","8244","2812","321863","0.3410965550703542","114.46","39.04","3.16"
"2024-11-01","1584","457","395","9983","3947","454130","0.3953721326254633","115.06","45.49","2.6"
"2024-12-01","1657","734","671","12932","6896","1171779","0.5332508506031549","169.92","90.61","3.67"
