"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","244628","184080","161260","4556955","1826131","299217332","0.400734920577447","163.85","65.66","3.7"
"2024-02-01","234534","162789","146375","3628704","1794517","287764794","0.49453386112507386","160.36","79.3","3.51"
"2024-03-01","247595","184146","170761","4187470","2205479","382627959","0.5266853255068096","173.49","91.37","3.38"
"2024-04-01","256943","188554","158424","4631053","1719374","279574092","0.3712706375850158","162.6","60.37","3.23"
"2024-05-01","255381","173503","148425","4174391","1678032","256344789","0.4019824688200027","152.77","61.41","3.09"
"2024-06-01","253968","165688","147075","3996472","1716760","267994290","0.4295688797519412","156.1","67.06","3.19"
"2024-07-01","253968","173265","158095","4287284","2131605","322664777","0.49719239499879175","151.37","75.26","3.27"
"2024-08-01","256243","171836","149933","4447840","1895381","268281670","0.426135157739487","141.54","60.32","3.07"
"2024-09-01","255397","164342","144020","4040763","1598741","201671671","0.39565324667643215","126.14","49.91","3.04"
"2024-10-01","258687","165981","144762","4069188","1681524","224074476","0.4132333035485212","133.26","55.07","3.18"
"2024-11-01","258977","176667","164049","4287498","2035060","291819807","0.47464978409319375","143.4","68.06","3.13"
"2024-12-01","261636","204901","188873","4592845","2366379","383283647","0.5152316265843938","161.97","83.45","3.44"
