"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","41599","26656","21911","572384","214618","33527288","0.37495457594901327","156.22","58.57","3.76"
"2024-02-01","42750","25963","23633","488297","261501","45214422","0.5355367737258268","172.9","92.6","3.81"
"2024-03-01","45438","29447","26592","615160","308695","51950945","0.5018125365758502","168.29","84.45","3.72"
"2024-04-01","45860","29013","23142","628345","215287","32245586","0.3426254684926275","149.78","51.32","3.57"
"2024-05-01","48362","32777","30001","666521","322269","47558076","0.48350914674856454","147.57","71.35","3.41"
"2024-06-01","54509","41106","38077","824302","451193","69351798","0.5473637089319205","153.71","84.13","3.37"
"2024-07-01","60233","49133","46121","1052901","640547","104249815","0.6083639392497491","162.75","99.01","3.51"
"2024-08-01","58546","49624","46070","1055887","603805","96901392","0.5718462297575403","160.48","91.77","3.29"
"2024-09-01","55955","43336","33329","875580","368840","55684036","0.42125219854268026","150.97","63.6","3.37"
"2024-10-01","52508","35077","29055","738011","306521","45854704","0.41533391778713324","149.6","62.13","3.43"
"2024-11-01","50209","29893","23817","594210","253645","37706363","0.42686087410174856","148.66","63.46","3.37"
"2024-12-01","51365","33592","30815","627519","346205","60257605","0.5517044105437445","174.05","96.03","3.88"
