"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","40672","24535","21708","583506","218407","15452246","0.3743012068427745","70.75","26.48","3.69"
"2024-02-01","41580","23390","19855","485853","218858","15867958","0.4504613535369752","72.5","32.66","3.58"
"2024-03-01","44574","26052","22007","531845","215788","15468754","0.40573475354661603","71.68","29.09","3.36"
"2024-04-01","45292","23961","17218","564102","183626","10246273","0.3255191437009619","55.8","18.16","3.44"
"2024-05-01","45221","21323","18644","488802","209722","11321012","0.42905307261426917","53.98","23.16","3.28"
"2024-06-01","45821","22567","19390","500492","221291","11288852","0.4421469274234154","51.01","22.56","3.31"
"2024-07-01","45440","26095","24188","551251","282018","15998951","0.511596350845622","56.73","29.02","3.37"
"2024-08-01","46011","27140","22868","658197","273658","15119473","0.41576913902676554","55.25","22.97","3.21"
"2024-09-01","46090","24154","19870","555090","224925","11393096","0.405204561422472","50.65","20.52","3.25"
"2024-10-01","47002","24014","21537","569415","252321","13421964","0.44312320539501066","53.19","23.57","3.2"
"2024-11-01","48093","25177","21870","585299","246914","13656783","0.4218595965480891","55.31","23.33","3.2"
"2024-12-01","50842","31647","29647","619132","282119","19008103","0.45566858117493525","67.38","30.7","3.33"
