"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","6069","5228","4684","128428","51901","11679752","0.4041252686330084","225.04","90.94","3.4"
"2024-02-01","6120","5124","4532","107960","54688","12509374","0.5065579844386809","228.74","115.87","3.51"
"2024-03-01","6125","5536","5256","128737","68687","16813546","0.5335451346543729","244.78","130.6","3.33"
"2024-04-01","6073","5427","4684","135339","53688","12030806","0.3966927493183783","224.09","88.89","3.26"
"2024-05-01","6186","5351","4980","129460","58694","12162448","0.45337556001853857","207.22","93.95","3.24"
"2024-06-01","6398","5648","5411","134341","75437","16129373","0.5615337089942758","213.81","120.06","3.33"
"2024-07-01","6489","5825","5639","146695","92255","19827940","0.6288898735471556","214.93","135.16","3.41"
"2024-08-01","6532","5841","5263","147025","66630","13718782","0.45318823329365754","205.89","93.31","3.31"
"2024-09-01","6480","5290","4340","127614","41618","7909289","0.3261240929678562","190.04","61.98","3.13"
"2024-10-01","6477","4869","4324","115265","42995","8217645","0.373010020387802","191.13","71.29","3.19"
"2024-11-01","6667","5358","4764","118757","50977","11680888","0.4292546965652551","229.14","98.36","3.2"
"2024-12-01","6756","5889","5626","130368","65890","15792820","0.5054154393716249","239.68","121.14","3.46"
